measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,The Bahamas,Both,All Ages,Alcohol use disorders,Number,1990,9.56251693011,10.6661244523,8.43588155336
Deaths,The Bahamas,Both,All Ages,Alcohol use disorders,Rate,1990,3.73508767377,4.16615314354,3.2950275997
Deaths,The Bahamas,Both,All Ages,Drug use disorders,Number,1990,1.99821104813,2.52233122352,1.56546920952
Deaths,The Bahamas,Both,All Ages,Drug use disorders,Rate,1990,0.7804946657890001,0.9852142831210001,0.611467126375
Deaths,The Bahamas,Both,All Ages,Eating disorders,Number,1990,0.0363823604506,0.0440214517797,0.0304603865642
Deaths,The Bahamas,Both,All Ages,Eating disorders,Rate,1990,0.014210830376,0.0171946343338,0.011897726846
Deaths,Bolivia,Both,All Ages,Eating disorders,Number,1992,1.05150088342,1.56343324473,0.654254238104
Deaths,Bolivia,Both,All Ages,Eating disorders,Rate,1992,0.014652477082599999,0.0217861631405,0.00911691600183
Deaths,Congo,Both,All Ages,Alcohol use disorders,Number,1990,48.9230005369,83.0011143992,25.9314944715
Deaths,Congo,Both,All Ages,Alcohol use disorders,Rate,1990,2.03952549493,3.46019023909,1.08104457036
Deaths,Congo,Both,All Ages,Drug use disorders,Number,1990,23.3626099783,41.836148374,7.9666871722
Deaths,Congo,Both,All Ages,Drug use disorders,Rate,1990,0.973951682357,1.7440854052699999,0.332119073228
Deaths,Congo,Both,All Ages,Eating disorders,Number,1990,0.11643702016,0.282467712978,0.0469316405904
Deaths,Congo,Both,All Ages,Eating disorders,Rate,1990,0.00485408230411,0.011775649404,0.00195650872703
Deaths,Paraguay,Both,All Ages,Alcohol use disorders,Number,1990,65.7007763072,86.3937524637,48.3664213251
Deaths,Paraguay,Both,All Ages,Alcohol use disorders,Rate,1990,1.56682844048,2.06031337905,1.15343971192
Deaths,Paraguay,Both,All Ages,Drug use disorders,Number,1990,6.32805899862,7.49718151787,4.9678171496
Deaths,Paraguay,Both,All Ages,Drug use disorders,Rate,1990,0.15091119723899998,0.178792365721,0.11847222566599999
Deaths,Paraguay,Both,All Ages,Eating disorders,Number,1990,0.527848859504,0.693189753306,0.333015010044
Deaths,Paraguay,Both,All Ages,Eating disorders,Rate,1990,0.012588110092899998,0.0165311504852,0.00794172334287
Deaths,Bermuda,Both,All Ages,Drug use disorders,Number,1990,1.11284235779,1.36870765411,0.915926639543
Deaths,Bermuda,Both,All Ages,Drug use disorders,Rate,1990,2.0967137557599997,2.57879127791,1.7257035293
Deaths,Colombia,Both,All Ages,Eating disorders,Number,1992,1.31071353503,1.60364594962,1.07054861214
Deaths,Colombia,Both,All Ages,Eating disorders,Rate,1992,0.0036866286288799997,0.00451055620504,0.0030111195594000003
Deaths,Zimbabwe,Both,All Ages,Alcohol use disorders,Number,1990,74.3319085209,109.140886155,35.8189051937
Deaths,Zimbabwe,Both,All Ages,Alcohol use disorders,Rate,1990,0.721116465925,1.0588089513399999,0.34749010001999997
Deaths,Zimbabwe,Both,All Ages,Drug use disorders,Number,1990,39.6815660525,102.293092566,17.7476372345
Deaths,Zimbabwe,Both,All Ages,Drug use disorders,Rate,1990,0.384962948531,0.99237642175,0.172175229935
Deaths,Zimbabwe,Both,All Ages,Eating disorders,Number,1990,0.304830227922,0.632582197378,0.163294729599
Deaths,Zimbabwe,Both,All Ages,Eating disorders,Rate,1990,0.0029572508097800002,0.006136872409939999,0.0015841718671799998
